Ring No,Group,Species,Gender,Cage No,Aviary,Bird status
14AV,Amazon,Red Lored Amazon,Female,A20,Aruvi,
16RBE33,Amazon,Red Lored Amazon,Male,A20,Aruvi,
GFCL298,Amazon,Double Yellow Headed Amazon,,A21,Aruvi,
GFCL291,Amazon,Double Yellow Headed Amazon,,A21,Aruvi,
036B1,Amazon,Red Lored Amazon,Male,A22,Aruvi,
170PV12,Amazon,Red Lored Amazon,Female,A22,Aruvi,
10WA15,Amazon,Blue Fronted Amazon,Male,A23,Aruvi,
LDFC 853/016,Amazon,Blue Fronted Amazon,Female,A23,Aruvi,
Pavw199,Amazon,Blue fronted amazon,female,A24,Aruvi,
10WA17,Amazon,Blue fronted amazon,Male,A24,Aruvi,
GSH 03,Parrot,Jardin,Female,A25,Aruvi,
101,Parrot,Jardin,Male,A25,Aruvi,
YUV 295,Lorikeet,Green Napped Lorikeet,Male,B01,Garden,
CKR B 205,Lorikeet,Olive swainson lorikeet,Female,B02,Garden,
CKRF386,Lorikeet,Red collar lorikeet,,B03,Garden,
CKRE1224,Lorikeet,Red collar lorikeet,,B03,Garden,
CKRD059,Lorikeet,Red collar lorikeet,,B04,Garden,
CKRD674,Lorikeet,Swainson Lorikeet,,B04,Garden,
CKRD626,Lory,Red Lory ,,B05,Garden,
CKRD1627,Lory,BLACK CAPPED LORY,,B06,Garden,
CKRD1591,Lory,BLACK CAPPED LORY,,B06,Garden,
CKRD693,Lory,BLACK CAPPED LORY,,B07,Garden,
CKRD1619,Lory,YELLOW BIBBED LORY,,B08,Garden,
CKRD1607,Lory,Red Lory ,,B09,Garden,
CKRD1548,Lory,Red Lory ,,B10,Garden,
CKRE1591,Lory,Red Lory ,,B12,Garden,
CKRE1978,Lory,Red Lory ,,B12,Garden,
CKRD625,Lory,Red Lory ,,B13,Garden,
CKRE1636,Lory,Red Lory ,,B13,Garden,
CKRD1527,Lory,Red Lory ,,B14,Garden,
CKRE1563,Lory,Red Lory ,,B15,Garden,
BL055,Lorikeet,OLIVE RED COLLER LORIKEET,,B16,Garden,
CKRF428,Lorikeet,Olive swainson lorikeet,,B16,Garden,
CKRE1917,Lorikeet,Red collar lorikeet,,B17,Garden,
CKRE1272,Lorikeet,Red collar lorikeet,,B17,Garden,
CKRD667,Lorikeet,Swainson Lorikeet,,B18,Garden,
CKRE1216,Lorikeet,Swainson Lorikeet,,B19,Garden,
CKRD1408,Lorikeet,Swainson Lorikeet,,B19,Garden,
CKRC400,Lory,CHATTERING LORY,,B20,Garden,
CKRE1406,Lorikeet,Swainson Lorikeet,,B21,Garden,
CKRE1255,Lorikeet,Swainson Lorikeet,,B21,Garden,
CKRE1926,Lorikeet,Olive swainson lorikeet,,B22,Garden,
Gfc069,Cockatoo,Triton Cockatoo,Vikram bird,C01,Garden,
LHF 331,Conure,Golden Conure,Female,C02,Garden,
CKRE 1286,Conure,Sun Conure,,C03,Garden,
CKRE 1571,Conure,Sun Conure,,C04,Garden,
CKRF 117,Conure,Sun Conure,,C05,Garden,
CKRF 817,Conure,Sun Conure,,C06,Garden,
CKRE 1811,Conure,Sun Conure,,C07,Garden,
CKRF 102,Conure,Sun Conure,,C08,Garden,
CKRF 142,Conure,Sun Conure,,C09,Garden,
CKRE 1645,Conure,Sun Conure,,C10,Garden,
CKRF 101,Conure,Sun Conure,,C12,Garden,
CKRE 1572,Conure,Sun Conure,,C13,Garden,
CKRF 156,Conure,Sun Conure,,C14,Garden,
CKRE 1342,Conure,Sun Conure,,C15,Garden,
CKRF 141,Conure,Sun Conure,,C16,Garden,
CKRE 1330,Conure,Sun Conure,,C17,Garden,
CKRF 176,Conure,Sun Conure,,C18,Garden,
CKRF590,Lorikeet,Swainson Lory,Male,C22,Garden,
CKRF593,Lorikeet,Swainson Lory,Male,C21,Garden,
CKRF580,Lorikeet,Swainson Lory,Male,C22,Garden,
CKRF781,Lorikeet,Swainson Lory,Male,C22,Garden,
CKRF767,Lorikeet,Swainson Lory,Female,C21,Garden,
CKRF766,Lorikeet,Swainson Lory,Female,C22,Garden,
CKRF360,Lorikeet,Swainson Lory,Female,C21,Garden,
ACEIND2575,Lorikeet,Swainson Lory,,C21,Garden,
CKRF393,Lory,Black Capped Chatting Lory,Male,,Sales ,
CKRF332,Lory,Black Capped Chatting Lory,Female,,Sales ,
CKRF327,Lory,Black Capped Chatting Lory,,,Sales ,
M040,Lory,Black Capped Lory,,,Sales ,
M058,Lory,Black Capped Lory,,,Sales ,
MCR047,Lory,Black Capped Lory,,,Sales ,
CKRD 1906,Conure,Crimson bellied Conure,Female,,Sales ,
CKR E 020,Conure,Crimson bellied Conure,Female,,Sales ,
CKRE017,Conure,Crimson Bellied Conure,Male,,Sales ,
CKRE018,Conure,Crimson Bellied Conure,Male,,Sales ,
CKRF411,Conure,Crimson Bellied Conure,Female,,Sales ,
CKRF366,Lorikeet,Green Napped Lorikeet,Female,,Sales ,
ACEIND2572,Lorikeet,Green Napped Lorikeet,,,Sales ,
ACEIND2574,Lorikeet,Green Napped Lorikeet,,,Sales ,
CKRD1764,Cockatoo,MAJOR MITCHAL GALAH COCKATOO,Male,,Sales ,
CKRD1692,Cockatoo,MAJOR MITCHAL GALAH COCKATOO,Male,,Sales ,
CKRD 618,Conure,Nanday Conure,Male,,Sales ,
CKRF333,Conure,Nanday Conure,,,Sales ,
CKRF331,Conure,Nanday Conure,,,Sales ,
CKRF286,Conure,Nanday Conure,,,Sales ,
CKRF281,Conure,Nanday Conure,,,Sales ,
CKRF284,Conure,Nanday Conure,,,Sales ,
ACEIND2567,Conure,Nanday Conure,,,Sales ,
ACEIND2568,Conure,Nanday Conure,,,Sales ,
ACEIND2569,Conure,Nanday Conure,,,Sales ,
ACEIND2570,Conure,Nanday Conure,,,Sales ,
ACEIND2571,Conure,Nanday Conure,,,Sales ,
CKRF 1043,Conure,Nansun Conure,Male,,Sales ,
CKRF 1028,Conure,Nansun Conure,Male,,Sales ,
CKRF 1033,Conure,Nansun Conure,Male,,Sales ,
CKRF 1026,Conure,Nansun Conure,Male,,Sales ,
CKRF 1050,Conure,Nansun Conure,Male,,Sales ,
FC 94,Conure,Nansun Conure,Male,,Sales ,
CKRF 1029,Conure,Nansun Conure,Female,,Sales ,
