\,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date
Lory,Lory,D27,Red collard lory,CKRC283,CKRC202,5624,20-12-2021,Fertile,27-12-2021,,7.16,11-01-2022,5.04,13-01-2022,0.61,Normal Hatch,0.2,,
Conure,Sun conure,B17,Sun conure,GB2891,GB2718,5636,23-12-2021,Fertile,30-12-2021,,7.04,11-01-2022,5.39,13-01-2022,0.63,Normal Hatch,0.2,,
Conure,Sun conure,B18,Sun conure,GB2767,NAGU14,5608,20-12-2021,Fertile,27-12-2021,,7.24,11-01-2022,5.71,13-01-2022,0.77,Normal Hatch,0.1,,
Conure,Sun conure,A1,Jandaya conure,CKRA137,CKR121,5628,23-12-2021,Fertile,30-12-2021,,7.75,11-01-2022,5.86,15-01-2022,0.64,Normal Hatch,0.1,,
Conure,Sun conure,A8,Sun conure,GB2805,GB2915,5601,20-12-2021,Fertile,27-12-2021,,7.77,11-01-2022,5.73,13-01-2022,1.07,Normal Hatch,0.2,,
Conure,Sun conure,A50,Sun conure,CKRD894,CKRD161,5651,23-12-2021,Fertile,30-12-2021,,6.73,12-01-2022,5.28,14-01-2022,0.71,Normal Hatch,0.2,,
Lory,Lory,E24,Red collard lory,GYYYO5078,4l7858,5622,20-12-2021,Fertile,27-12-2021,,5.75,11-01-2022,4.56,13-01-2022,0.63,Normal Hatch,0.1,,
Conure,Sun conure,A26,Sun conure,GB3223,GB2926,5610,20-12-2021,Fertile,27-12-2021,,7.74,11-01-2022,6.08,13-01-2022,0.57,Normal Hatch,0.2,,
Conure,Lory,I6,Crimson bellied conure,,,5663,23-12-2021,Fertile,30-12-2021,,5.32,11-01-2022,3.68,14-01-2022,0.61,Normal Hatch,0.1,,
Lory,Lory,E25,Red collard lory,YMSBRC773,YO5067,5623,20-12-2021,Fertile,27-12-2021,,,,5.16,12-01-2022,0.53,Normal Hatch,0.2,,
Conure,Sun conure,B6,Sun conure,GB3059,CPC143,5629,20-12-2021,Fertile,27-12-2021,,6.59,11-01-2022,4.89,13-01-2022,0.62,Normal Hatch,0.1,,
Conure,Sun conure,A40,Sun conure,VRS66,GB3189,5615,20-12-2021,Fertile,27-12-2021,,,,,,,,,Late,13-01-2022
Conure,Sun conure,B13,Sun conure,GB2810,GB3097,5607,20-12-2021,Fertile,27-12-2021,,7.94,11-01-2022,5.79,14-01-2022,1.17,Normal Hatch,0.1,,
Conure,Sun conure,B12,Sun conure,GB2701,GB3332,5633,23-12-2021,Fertile,30-12-2021,,7.32,11-01-2022,5.64,14-01-2022,0.71,Normal Hatch,0.1,,
Conure,Sun conure,B30,Sun conure,GB2702,GB2823,5646,23-12-2021,Fertile,30-12-2021,,9.03,12-01-2022,7.27,14-01-2022,0.72,Normal Hatch,0.2,,
Conure,Sun conure,B6,Sun conure,GB3059,CPC143,5841,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Conure,Sun conure,A8,Sun conure,GB2805,GB2915,5842,13-01-2022,Infertile,,,,,,,,,,,
Conure,Sun conure,A10,Sun conure,GB2872,CKRB115,5843,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Conure,Sun conure,A13,Sun conure,GB2905,GB3107,5844,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Conure,Sun conure,B14,Sun conure,GB2698,GB2780,5845,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Conure,Sun conure,A16(C5),Sun conure,GB3023,GB2855,5846,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Conure,Sun conure,B18(C4),Sun conure,GB2767,NAGU14,5847,13-01-2022,Infertile,,,,,,,,,,,
Conure,Sun conure,B20,Sun conure,GB2815,CKRB154,5848,13-01-2022,Infertile,,,,,,,,,,,
Conure,Sun conure,B22,Sun conure,GB2714,GB2747,5849,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Conure,Sun conure,B24,Sun & Jandaya,GB2636,GB3334,5850,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Conure,Sun conure,A25,Sun & Jandaya,GB2879,GB3175,5851,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Conure,Sun conure,A26,Sun conure,GB3223,GB2926,5852,13-01-2022,Fertile,20-01-2022,,,,,,,,,Early (B.Ring),19-01-2022
Conure,Sun conure,B27,Sun conure,GB2730,CKRB184,5853,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Conure,Sun conure,B29,Sun conure,GB2807,GB2700,5854,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Conure,Sun conure,A29,Sun conure,GB2873,GB2778,5855,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Conure,Sun conure,B30,Sun conure,GB2702,GB2823,5856,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Conure,Sun conure,B31,Sun conure,CKRA442,CKR279,5857,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Conure,Sun conure,A33(C40),Jandaya conure,CKRC245,CKRB170,5858,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Conure,Sun conure,B33,Jandaya conure,CKR53,CKRB136,5859,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Conure,Sun conure,B36,Sun conure,GB2939,GB2937,5860,13-01-2022,Fertile,20-01-2022,,,,,,,,,Early (B.Ring),19-01-2022
Conure,Sun conure,A36,Sun conure,CKRC251,CKRC256,5861,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Conure,Sun conure,A38,Sun conure,CKRA143,GB3339,5862,13-01-2022,Infertile,,,,,,,,,,,
Conure,Sun conure,B43,Crimson bellied conure,SIVA529,HAISHL066,5863,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
Conure,Sun conure,B43,Crimson bellied conure,SIVA529,HAISHL066,5864,13-01-2022,Fertile,20-01-2022,,,,,,,,,,
