S.No,Ring No,Group,Bird Species,Gender,Cage ,Aviary,Bird status,Status,Upload,Action
166,JFS207,Macaw,Blue and Gold Macaw,Female,S09,Solai,,,,
167,GF01,Macaw,GREEN WING MACAW,Male,S10,Solai,,,,
168,M01,Macaw,GREEN WING MACAW,Female,S10,Solai,,,,
169,NB125NT2,Macaw,Blue and Gold Macaw,Male,S11,Solai,,,,
170,JFS218,Macaw,Blue and Gold Macaw,Female,S11,Solai,,,,
171,JFS221,Macaw,Blue and Gold Macaw,Female,S12,Solai,,,,
172,JP416,Macaw,Blue and Gold Macaw,Male,S12,Solai,,,,
173, LA 414,Macaw,Scarlet Macaw,Female,S14,Solai,,,,
174,LFC 3,Macaw,Scarlet Macaw,Male,S14,Solai,,,,
175,,Macaw,GREEN WING MACAW,,T01,Thenral,,,,
176,,Macaw,GREEN WING MACAW,,T01,Thenral,,,,
177,No ring(GFO 039),Macaw,Scarlet Macaw,Male,T02,Thenral,,,,
178,13(VJ013),Macaw,Scarlet Macaw,Female,T02,Thenral,,,,
179,CY 435,Macaw,Scarlet Macaw,Female,T03,Thenral,,,,
180,LH M 22,Macaw,Scarlet Macaw,,T03,Thenral,,,,
181,FF A 401(EFA401),Macaw,Scarlet Macaw,,T04,Thenral,,,,
182,019(SAT 8019),Macaw,Scarlet Macaw,,T04,Thenral,,,,
183,OO32,Macaw,Scarlet Macaw,Male,T05,Thenral,,,,
184,OO38,Macaw,Scarlet Macaw,Female,T05,Thenral,,,,
185,022,Macaw,Blue and Gold Macaw,Male,T06,Thenral,,,,
186,CKR 0083,Macaw,Blue and Gold Macaw,Female,T06,Thenral,,,,
187,JP404,Macaw,Blue and Gold Macaw,Female,T07,Thenral,,,,
188,JFS210,Macaw,Blue and Gold Macaw,Male,T07,Thenral,,,,
189,CKR 24,Macaw,Blue and Gold Macaw,Female,T08,Thenral,,,,
190,CKR 20,Macaw,Blue and Gold Macaw,Male,T08,Thenral,,,,
191,,Macaw,Blue and Gold Macaw,,T09,Thenral,,,,
192,,Macaw,Blue and Gold Macaw,,T09,Thenral,,,,
193,JFS201,Macaw,Blue and Gold Macaw,Male,T10,Thenral,,,,
194,CKR 23,Macaw,Blue and Gold Macaw,Female,T10,Thenral,,,,
195,JFS208,Macaw,Blue and Gold Macaw,Male,T11,Thenral,,,,
196,JFS223,Macaw,Blue and Gold Macaw,Female,T11,Thenral,,,,
197,,Cockatoo,Mollucan Cockatoo,Male,V01,Vasantham,,,,
198,PABW 052,Cockatoo,Mollucan Cockatoo,Female,V01,Vasantham,,,,
199,PABW 001,Cockatoo,Mollucan Cockatoo,Male,V02,Vasantham,,,,
200,PABW 036,Cockatoo,Mollucan Cockatoo,Female,V02,Vasantham,,,,
201,167,Cockatoo,Goffin Cockatoo,Male,V03,Vasantham,,,,
202,175,Cockatoo,Goffin Cockatoo,Female,V03,Vasantham,,,,
203,141,Cockatoo,Goffin Cockatoo,Male,V04,Vasantham,,,,
204,157,Cockatoo,Goffin Cockatoo,Female,V04,Vasantham,,,,
205,CKR 0002,Cockatoo,Medium Sulphur Cockatoo,Female,V05,Vasantham,,,,
206,CKR 03,Cockatoo,Medium Sulphur Cockatoo,Male,V05,Vasantham,,,,
207,CKR A023,Cockatoo,Triton Cockatoo,Female,V06,Vasantham,,,,
208,CKR A 044,Cockatoo,Triton Cockatoo,Male,V06,Vasantham,,,,
209,No Ring,Cockatoo,Triton Cockatoo,Male,V07,Vasantham,,,,
210,CKR A 042,Cockatoo,Triton Cockatoo,Female,V07,Vasantham,,,,
211,CKR A 025,Cockatoo,Triton Cockatoo,Female,V08,Vasantham,,,,
212,CKR A 013,Cockatoo,Triton Cockatoo,Male,V08,Vasantham,,,,
213,CKR 26/28,Cockatoo,Triton Cockatoo,Male,V09,Vasantham,,,,
214,CKR A 019,Cockatoo,Triton Cockatoo,Female,V09,Vasantham,,,,
215,CKR C 006,Cockatoo,Umbrella Cockatoo,Male,V10,Vasantham,,,,
216,No Ring,Cockatoo,Umbrella Cockatoo,Female,V10,Vasantham,,,,
217,CKR A 020,Cockatoo,Triton Cockatoo,Male,V11,Vasantham,,,,
218,CKR 10,Cockatoo,Umbrella Cockatoo,Female,V12,Vasantham,,,,
219,No Ring,Cockatoo,Umbrella Cockatoo,Male,V12,Vasantham,,,,
220,CKR 13,Cockatoo,Umbrella Cockatoo,Female,V13,Vasantham,,,,
221,No Ring,Cockatoo,Umbrella Cockatoo,Male,V13,Vasantham,,,,
222,CKR A 009,Cockatoo,Triton Cockatoo,Male,V14,Vasantham,,,,
223,CKR A 022,Cockatoo,Triton Cockatoo,Female,V14,Vasantham,,,,
224,PABW 053,Cockatoo,Mollucan Cockatoo,Female,V15,Vasantham,,,,
225,CKR 0074,Cockatoo,Mollucan Cockatoo,Male,V15,Vasantham,,,,
226,CKR A 036,Cockatoo,Medium Sulphur Cockatoo,Female,V16,Vasantham,,,,
227,CKR A 030,Cockatoo,Medium Sulphur Cockatoo,Male,V16,Vasantham,,,,
228,CKR A 289,Cockatoo,Medium Sulphur Cockatoo,Female,V17,Vasantham,,,,
229,CKR C 444,Cockatoo,Medium Sulphur Cockatoo,Male,V17,Vasantham,,,,
230,CKR A 029,Cockatoo,Medium Sulphur Cockatoo,Female,V18,Vasantham,,,,
231,CKR A 035,Cockatoo,Medium Sulphur Cockatoo,Male,V18,Vasantham,,,,
232,PABW 072,Cockatoo,Mollucan Cockatoo,Male,V19,Vasantham,,,,
233,PABW 038,Cockatoo,Mollucan Cockatoo,Female,V19,Vasantham,,,,
234,CKR A 045,Cockatoo,Triton Cockatoo,Male,V20,Vasantham,,,,
235,CKR A 012,Cockatoo,Triton Cockatoo,Female,V20,Vasantham,,,,
236,CKR 0003,Cockatoo,Umbrella Cockatoo,Female,V21,Vasantham,,,,
237,No Ring,Cockatoo,Umbrella Cockatoo,Male,V21,Vasantham,,,,
