Ring no,Group Name,Species Name,Gender,Cage,Aviary Name,Proven,Actual Weight
GB 2933,Conure,Sun Conure,Female,A56,Sun Conure  Aviary,Proven,
GB 2725,Conure,Sun Conure,Female,B01,Sun Conure  Aviary,Proven,
GB 2765,Conure,Sun Conure,Male,B01,Sun Conure  Aviary,Proven,
CKR C 221,Conure,Sun Conure,Male,B02,Sun Conure  Aviary,Proven,
CKR D 316,Conure,Sun Conure,Female,B02,Sun Conure  Aviary,Proven,
GB 2871,Conure,Sun Conure,Female,B03,Sun Conure  Aviary,Proven,
GB 3167,Conure,Sun Conure,Male,B03,Sun Conure  Aviary,Proven,
CKR D 216,Conure,Sun Conure,Male,B04,Sun Conure  Aviary,Proven,
CKR D 1380,Conure,Sun Conure,Female,B04,Sun Conure  Aviary,Proven,
CKRB 211,Parrot,Red Belly,,B05,Sun Conure  Aviary,Proven,
266,Parrot,Red Belly,,B05,Sun Conure  Aviary,Proven,
GB 3059,Conure,Sun Conure,Male,B06,Sun Conure  Aviary,Proven,
CPC 143,Conure,Sun Conure,Female,B06,Sun Conure  Aviary,Proven,
CKR B 131,Conure,Sun Conure,Male,B07,Sun Conure  Aviary,Proven,
GB 3096,Conure,Sun Conure,Female,B07,Sun Conure  Aviary,Proven,
CKR 52,Parrot,Cape Parrot,Female,B08,Sun Conure  Aviary,Proven,
CKR A061,Parrot,Cape Parrot,Male,B08,Sun Conure  Aviary,Proven,
GB 3213,Conure,Sun Conure,Female,B09,Sun Conure  Aviary,Proven,
GB 2982,Conure,Sun Conure,Male,B09,Sun Conure  Aviary,Proven,
GB 3222,Conure,Sun Conure,Female,B10,Sun Conure  Aviary,Proven,
GB 2899,Conure,Sun Conure,Male,B10,Sun Conure  Aviary,Proven,
GB 2754,Conure,Sun Conure,Male,B11,Sun Conure  Aviary,Proven,
GB 2759,Conure,Sun Conure,Female,B11,Sun Conure  Aviary,Proven,
GB 2701,Conure,Sun Conure,Male,B12,Sun Conure  Aviary,Proven,
GB 3332,Conure,Janday Conure,Female,B12,Sun Conure  Aviary,Proven,
GB 3097,Conure,Sun Conure,Female,B13,Sun Conure  Aviary,Proven,
GB 2810,Conure,Sun Conure,Male,B13,Sun Conure  Aviary,Proven,
GB 2698,Conure,Sun Conure,Male,B14,Sun Conure  Aviary,Proven,
GB 2780,Conure,Sun Conure,Female,B14,Sun Conure  Aviary,Proven,
GB 3333,Conure,Janday Conure,Female,B15,Sun Conure  Aviary,Proven,
CKR C 258,Conure,Janday Conure,Male,B15,Sun Conure  Aviary,Proven,
ACE IND 153,Conure,Sun Conure,Female,B16,Sun Conure  Aviary,Proven,
CKR D 300,Conure,Sun Conure,Male,B16,Sun Conure  Aviary,Proven,
GB 2718,Conure,Sun Conure,Female,B17,Sun Conure  Aviary,Proven,
GB 2891,Conure,Sun Conure,Male,B17,Sun Conure  Aviary,Proven,
GB 2767,Conure,Sun Conure,Male,B18,Sun Conure  Aviary,Proven,
NAGU 14,Conure,Sun Conure,Female,B18,Sun Conure  Aviary,Proven,
GB 3168,Conure,Sun Conure,Female,B19,Sun Conure  Aviary,Proven,
GB 2819,Conure,Sun Conure,Male,B19,Sun Conure  Aviary,Proven,
CKR B 154,Conure,Sun Conure,Female,B20,Sun Conure  Aviary,Proven,
GB 2815,Conure,Sun Conure,Male,B20,Sun Conure  Aviary,Proven,
GB 3116,Conure,Sun Conure,Female,B21,Sun Conure  Aviary,Proven,
GB 3127,Conure,Sun Conure,Male,B21,Sun Conure  Aviary,Proven,
GB 2714,Conure,Sun Conure,Male,B22,Sun Conure  Aviary,Proven,
GB 2747,Conure,Sun Conure,Female,B22,Sun Conure  Aviary,Proven,
GB 2735,Conure,Sun Conure,Male,B23,Sun Conure  Aviary,Proven,
GB 2776,Conure,Sun Conure,Female,B23,Sun Conure  Aviary,Proven,
GB 2636,Conure,Sun Conure,Male,B24,Sun Conure  Aviary,Proven,
GB 3334,Conure,Janday Conure,Female,B24,Sun Conure  Aviary,Proven,
GB 3099,Conure,Sun Conure,Female,B25,Sun Conure  Aviary,Proven,
GB 2853,Conure,Sun Conure,Male,B25,Sun Conure  Aviary,Proven,
GB 2892,Conure,Sun Conure,Male,B26,Sun Conure  Aviary,Proven,
GB 2932,Conure,Sun Conure,Female,B26,Sun Conure  Aviary,Proven,
CKR B 184,Conure,Sun Conure,Female,B27,Sun Conure  Aviary,Proven,
GB 2730,Conure,Sun Conure,Male,B27,Sun Conure  Aviary,Proven,
GB 2724,Conure,Sun Conure,Female,B28,Sun Conure  Aviary,Proven,
GB 2942,Conure,Sun Conure,Male,B28,Sun Conure  Aviary,Proven,
GB 2700,Conure,Sun Conure,Female,B29,Sun Conure  Aviary,Proven,
GB 2807,Conure,Sun Conure,Male,B29,Sun Conure  Aviary,Proven,
