Group Name,Aviary Name,Cage,Species Name,Ring no,Gender,Proven,Bird status
Lorikeet,Sales,,Green Napped Lorikeet,CKRF366,Female,Semi adult,Sale
Lorikeet,Sales,,Green Napped Lorikeet,ACEIND2572,,Semi adult,Sale
Lorikeet,Sales,,Green Napped Lorikeet,ACEIND2574,,Semi adult,Sale
Cockatoo,Sales,,Major Mitchell's Galah Cockatoo,CKRD1764,Male,Semi adult,Sale
Cockatoo,Sales,,Major Mitchell's Galah Cockatoo,CKRD1692,Male,Semi adult,Sale
Conure,Sales,,Nanday Conure,CKRD618,Male,Semi adult,Sale
Conure,Sales,,Nanday Conure,CKRF333,,Semi adult,Sale
Conure,Sales,,Nanday Conure,CKRF331,,Semi adult,Sale
Conure,Sales,,Nanday Conure,CKRF286,,Semi adult,Sale
Conure,Sales,,Nanday Conure,CKRF281,,Semi adult,Sale
Conure,Sales,,Nanday Conure,CKRF284,,Semi adult,Sale
Conure,Sales,,Nanday Conure,ACEIND2567,,Semi adult,Sale
Conure,Sales,,Nanday Conure,ACEIND2568,,Semi adult,Sale
Conure,Sales,,Nanday Conure,ACEIND2569,,Semi adult,Sale
Conure,Sales,,Nanday Conure,ACEIND2570,,Semi adult,Sale
Conure,Sales,,Nanday Conure,ACEIND2571,,Semi adult,Sale
Conure,Sales,,Nansun Conure,CKRF1043,Male,Semi adult,Sale
Conure,Sales,,Nansun Conure,CKRF1028,Male,Semi adult,Sale
Conure,Sales,,Nansun Conure,CKRF1033,Male,Semi adult,Sale
Conure,Sales,,Nansun Conure,CKRF1026,Male,Semi adult,Sale
Conure,Sales,,Nansun Conure,CKRF1050,Male,Semi adult,Sale
Conure,Sales,,Nansun Conure,FC94,Male,Semi adult,Sale
Conure,Sales,,Nansun Conure,CKRF1029,Female,Semi adult,Sale
Parrot,Sales,,Red Belly,CKRF282,,Semi adult,Sale
Parrot,Sales,,Red Belly,CKRF283,,Semi adult,Sale
Parrot,Sales,,Red Belly,CKRF354,,Semi adult,Sale
Lorikeet,Sales,,Red Collared Lorikeet,CKRF776,Female,Semi adult,Sale
Lorikeet,Sales,,Red Collared Lorikeet,CKRF362,Male,Semi adult,Sale
Lorikeet,Sales,,Red Collared Lorikeet,CKRF355,Female,Semi adult,Sale
Lorikeet,Sales,,Red Collared Lorikeet,CKRF370,Female,Semi adult,Sale
Lorikeet,Sales,,Red Collared Lorikeet,CKRF779,Male,Semi adult,Sale
Lorikeet,Sales,,Red Collared Lorikeet,ACEIND2573,,Semi adult,Sale
Conure,Sales,,Redmask Conure,CKRF1023,Male,Semi adult,Sale
Conure,Sales,,Redmask Conure,CKRF1042,Male,Semi adult,Sale
Conure,Sales,,Sun & Janday Conure,CKRE2133,Male,Semi adult,Sale
Conure,Sales,,Sun Conure,GB3218,Male,Semi adult,Sale
Conure,Sales,,Sun Conure,GB2869,Male,Semi adult,Sale
Lorikeet,Sales,,Swainson Lorikeet,CKRF777,Male,Semi adult,Sale
Lorikeet,Sales,,Swainson Lorikeet,CKRF405,Female,Semi adult,Sale
Lorikeet,Sales,,Swainson Lorikeet,CKRF765,Female,Semi adult,Sale
Lorikeet,Sales,,Swainson Lorikeet,CKRF579,Female,Semi adult,Sale
Lorikeet,Sales,,Swainson Lorikeet,CKRF358,Male,Semi adult,Sale
Lorikeet,Sales,,Swainson Lorikeet,ACEIND2576,,Semi adult,Sale
Pionus,Sales,,White Headed pionus,CKRD719noring,Female,Semi adult,Sale
Cockatoo,Solai,S01,Major Mitchell's Cockatoo,89PINZ14,Male,Adult,Sale
Cockatoo,Solai,S02,Triton Cockatoo,CKRA069,Male,Adult,Sale
Cockatoo,Solai,S03,Mollucan Cockatoo,GFCL618,Female,Adult,Hold
Cockatoo,Solai,S03,Mollucan Cockatoo,SSG-176,MALE,Adult,Hold
Cockatoo,Solai,S04,Mollucan Cockatoo,PABW031,Female,Non proven,Hold
Cockatoo,Solai,S04,Mollucan Cockatoo,SSG-194,MALE,Non proven,Hold
Parrot,Solai,S05,Gray parrot,P3SG27,,Adult,Hold
Parrot,Solai,S05,Gray parrot,SV002,Female,Adult,Hold
Parrot,Solai,S05,Gray parrot,CKR0005,Female,Adult,Hold
Cockatoo,Solai,S06,Major Mitchell's Cockatoo,93PINZ14,Male,Adult,Sale
Macaw,Solai,S07,Blue Gold Macaw,,,Semi adult,Hold
Cockatoo,Solai,S08,Medium Sulphur Cockatoo,CKRA037,Male,Adult,Hold
Macaw,Solai,S09,Blue Gold Macaw,CKR0056,Male,Proven,Hold
Macaw,Solai,S09,Blue Gold Macaw,JFS207,Female,Proven,Hold
Macaw,Solai,S10,Green winged Macaw,GF01,Male,Non proven,Hold
Macaw,Solai,S10,Green winged Macaw,M01,Female,Non proven,Hold
Macaw,Solai,S11,Blue Gold Macaw,NB125NT2,Male,Non proven,Hold
Macaw,Solai,S11,Blue Gold Macaw,JFS218,Female,Non proven,Hold
Macaw,Solai,S12,Blue Gold Macaw,JFS221,Female,Non proven,Hold
Macaw,Solai,S12,Blue Gold Macaw,JP416,Male,Non proven,Hold
Macaw,Solai,S14,Scarlet Macaw, LA414,Female,Non proven,Hold
Macaw,Solai,S14,Scarlet Macaw,LFC3,Male,Non proven,Hold
Macaw,Thendral,T01,Green winged Macaw,,,Proven,Hold
Macaw,Thendral,T01,Green winged Macaw,,,Proven,Hold
Macaw,Thendral,T02,Scarlet Macaw,No ring(GFO039),Male,Non proven,Hold
Macaw,Thendral,T02,Scarlet Macaw,13(VJ013),Female,Non proven,Hold
Macaw,Thendral,T03,Scarlet Macaw,CY435,Female,Proven,Hold
Macaw,Thendral,T03,Scarlet Macaw,LHM22,,Proven,Hold
Macaw,Thendral,T04,Scarlet Macaw,FFA401(EFA401),,Proven,Hold
Macaw,Thendral,T04,Scarlet Macaw,019(SAT8019),,Proven,Hold
Macaw,Thendral,T05,Scarlet Macaw,OO32,Male,Proven,Hold
