Aviary,Group,Species,Section,Material,Target,Actual Type
Garden,Conure,Sun Conure,Morning,Guava (Kg) - 1.5kg,4.5,Weekly once
Garden,Conure,Janday conure,Morning,Tor Dal,0.05,Weekly once
Crown pigeon cage,Amazon,Cuban Amazon,Morning,Green Gram,0.2,Weekly once
Sales,Lorikeet,Swainson's Lorikeet,Morning,Black Channa,0.15,Daily twice
Sales,Lorikeet,Red Collared Lorikeet,Morning,White Channa,0.3,Daily twice
Sales,Conure,Nansun Conure,Morning,Water quantity for mixing (L),2L,Daily once
Sales,Cockatoo,Triton Cockatoo,Morning,Water quantity for boiling (L),4L,Daily twice
Sales,Amazon,Red Lored Amazon,Morning,Egg- Garden cage,0.3,Daily twice
Aruvi,Parrot,Jardin,Morning,Oats (Kg),0.2,Daily twice
Aruvi,Parrot,Grey Parrot,Morning,Beetroot (Kg) - 750kg,,Daily twice
Aruvi,Parrot,Timney Grey Parrot,Morning,Carrot (Kg) - 750g,,Daily twice
Aruvi,Cockatoo,Major Mitchell's Cockatoo,Morning,Papaya (Kg) - 1kg,,Daily twice
Aruvi,Amazon,Red Lory,Morning,Guava (Kg) - 1kg,3.5,Daily once
Aruvi,Amazon,Red Lored Amazon,Morning,Tor Dal  (g),0.05,Weekly once
Aruvi,Amazon,Double Yellow Headed Amazon,Morning,Green Gram  (g),0.2,Weekly once
Aruvi,Amazon,Cuban Amazon,Morning,Black Channa  (g),0.1,Weekly once
Aruvi,Amazon,Blue Fronted Amazon,Morning,White Channa (g),0.25,Weekly once
Aruvi,Amazon,Blue Fronted Amazon,Morning,Green Gram  (g),1.25,Weekly once
Aruvi,Amazon,Blue Fronted Amazon,Afternoon,Green Gram  (g),2.25,Weekly once
Aruvi,Amazon,Blue Fronted Amazon,Morning,Black Channa (g),3.25,Weekly once
Aruvi,Amazon,Blue Fronted Amazon,Afternoon,Black Channa (g),4.25,Weekly once
Aruvi,Amazon,Blue Fronted Amazon,Morning,Tor Dal  (g),5.25,Weekly once
Aruvi,Amazon,Blue Fronted Amazon,Afternoon,Tor Dal  (g),6.25,Weekly once
