Group Name,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date,Egg weight
Lorikeet,Lory,E10,Swainson Lorikeet,CKRC369,CKRC263,6684,02-05-2022,,,,,,,,,,,,,7.69
Lory,Lory,E08,Yellow bibbed Lory,,,6685,02-05-2022,,,,,,,,,,,,,9.16
Lorikeet,Lory,E04,Swainson Lorikeet,CKRC365,CKRC241,6686,02-05-2022,,,,,,,,,,,,,8.49
Parrot,Sun Conure,B08,Cape Parrot,CRA061,CKR52,6687,04-05-2022,,,,,,,,,,,,,13
Conure,Sun Conure,A02,Sun Conure,CKRB157,GB3071,6699,06-05-2022,,,,,,,,,,,,,9.17
Conure,Sun Conure,B06,Sun Conure,GB3059,CPC143,6688,06-05-2022,,,,,,,,,,,,,6.92
Conure,Sun Conure,B39,Sun Conure,GB2956,Ckr153,6689,06-05-2022,,,,,,,,,,,,,9.53
Conure,Sun Conure,B39,Sun Conure,GB2956,Ckr153,6690,06-05-2022,,,,,,,,,,,,,9.39
Conure,Sun Conure,A52,Sun Conure,GB2773,GB2602,6691,06-05-2022,,,,,,,,,,,,,6.55
Lorikeet,Lory,F39,Olive Swainson Lorikeet + Swainson Lorikeet,75KZ6213,CKRC297,6692,06-05-2022,,,,,,,,,,,,,6.06
Lorikeet,Lory,D42,Red Collared Lorikeet,CKRC281,CKRC288,6693,06-05-2022,,,,,,,,,,,,,7.19
Lorikeet,Lory,E36,Olive Swainson Lorikeet + Swainson Lorikeet,CKRD1476,CKRB114,6694,06-05-2022,,,,,,,,,,,,,7.08
Lorikeet,Lory,E28,Swainson Lorikeet,CKR364,CKRB107,6695,06-05-2022,,,,,,,,,,,,,8.91
Lorikeet,Lory,D24,Olive Swainson Lorikeet,TSNZ80,CKRB215,6696,06-05-2022,,,,,,,,,,,,,7.14
Lorikeet,Lory,D11,Green Napped Lorikeet,YUV400,YUV287,6697,06-05-2022,,,,,,,,,,,,,7.2
Lory,Lory,E08,Yellow bibbed Lory,,,6698,06-05-2022,,,,,,,,,,,,,8.81
Monk,Macaw,NB-3,Monk-Blue,,,6700,08-05-2022,,,,,,,,,,,,,5.41
Monk,Macaw,NB-3,Monk-Blue,,,6701,08-05-2022,,,,,,,,,,,,,5.58
Monk,Macaw,NB-3,Monk-Blue,,,6702,08-05-2022,,,,,,,,,,,,,5.54
Monk,Macaw,NB-10,Lutino Peach,,,6703,08-05-2022,,,,,,,,,,,,,6.12
Monk,Macaw,NB-10,Lutino Peach,,,6704,08-05-2022,,,,,,,,,,,,,7.21
Monk,Macaw,NB-10,Lutino Peach,,,6705,08-05-2022,,,,,,,,,,,,,6.28
Monk,Macaw,NB-11,Monk-Blue,,,6706,08-05-2022,,,,,,,,,,,,,5.96
Monk,Macaw,NB-11,Monk-Blue,,,6707,08-05-2022,,,,,,,,,,,,,5.63
Monk,Macaw,NB-11,Monk-Blue,,,6708,08-05-2022,,,,,,,,,,,,,5.91
