Group Name,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date,Egg weight
Lory,Lory,E30,redlory ,ABW5145,ABW5158,6556,04-04-2022,Fertile,11-04-2022,,5.97,27-04-2022,4.92,28-04-2022,0.75,Normal,0.2,,,8.15
Lorikeet,Lory,E28,Swainson Lorikeet,CKR364,CKRB107,6557,04-04-2022,Fertile,11-04-2022,,7.96,26-04-2022,6.2,29-04-2022,0.63,Normal,0.2,,,8.88
Lorikeet,Lory,D24,Olive Swainson Lorikeet,CKRB215,TSNZ80,6558,04-04-2022,Fertile,11-04-2022,,7.14,25-04-2022,5.38,27-04-2022,0.69,,0.3,,,7.94
Lory,Lory,E23,redlory ,ABW5142,ABW5160,6559,04-04-2022,Fertile,11-04-2022,,7.45,28-04-2022,5.9,29-04-2022,0.68,Assist,0.2,,,9.08
Lorikeet,Lory,E10,Swainson Lorikeet,CKRC369,CKRC263,6560,04-04-2022,Fertile,11-04-2022,,7.22,24-04-2022,5.73,26-04-2022,0.91,Normal,0.2,,,8.05
Lorikeet,Lory,E05,Red Collared Lorikeet,CKRC225,CKRB149,6561,04-04-2022,DIS,11-04-2022,,,,,,,,,Late,25-04-2022,7.42
Conure,Lory,H04,Sun Conure,CKRE1302,CKRE1626,6562,04-04-2022,Broken,,,,,,,,,,,,
Conure,Sun Conure,B03,Sun Conure,GB3167,GB2871,6563,11-04-2022,Fertile,18-04-2022,,,,5.38,30-04-2022,0.5,Normal,0.3,,,7.9
Conure,Sun Conure,B03,Sun Conure,GB3167,GB2871,6564,11-04-2022,DIS,18-04-2022,,,,,,,,,Early,19-04-2022,8.03
Conure,Sun Conure,B12,Sun & Janday Conure,GB2701,GB3332,6565,11-04-2022,DIS,15-04-2022,,,,,,,,,Early,18-04-2022,8.82
