Group Name,Aviary Name,Cage,Species Name,Ring no,Gender,Proven,Weight
Conure,Sun Conure  Aviary,B20,Sun Conure,GB 2815,Male,Proven,
Conure,Sun Conure  Aviary,B21,Sun Conure,GB 3116,Female,Proven,
Conure,Sun Conure  Aviary,B21,Sun Conure,GB 3127,Male,Proven,
Conure,Sun Conure  Aviary,B22,Sun Conure,GB 2714,Male,Proven,
Conure,Sun Conure  Aviary,B22,Sun Conure,GB 2747,Female,Proven,
Conure,Sun Conure  Aviary,B23,Sun Conure,GB 2735,Male,Proven,
Conure,Sun Conure  Aviary,B23,Sun Conure,GB 2776,Female,Proven,
Conure,Sun Conure  Aviary,B24,Sun Conure,GB 2636,Male,Proven,
Conure,Sun Conure  Aviary,B24,Janday Conure,GB 3334,Female,Proven,
Conure,Sun Conure  Aviary,B25,Sun Conure,GB 3099,Female,Proven,
Conure,Sun Conure  Aviary,B25,Sun Conure,GB 2853,Male,Proven,
Conure,Sun Conure  Aviary,B26,Sun Conure,GB 2892,Male,Proven,
Conure,Sun Conure  Aviary,B26,Sun Conure,GB 2932,Female,Proven,
Conure,Sun Conure  Aviary,B27,Sun Conure,CKR B 184,Female,Proven,
Conure,Sun Conure  Aviary,B27,Sun Conure,GB 2730,Male,Proven,
Conure,Sun Conure  Aviary,B28,Sun Conure,GB 2724,Female,Proven,
Conure,Sun Conure  Aviary,B28,Sun Conure,GB 2942,Male,Proven,
Conure,Sun Conure  Aviary,B29,Sun Conure,GB 2700,Female,Proven,
Conure,Sun Conure  Aviary,B29,Sun Conure,GB 2807,Male,Proven,
Conure,Sun Conure  Aviary,B30,Sun Conure,GB 2702,Male,Proven,
Conure,Sun Conure  Aviary,B30,Sun Conure,GB 2823,Female,Proven,
Conure,Sun Conure  Aviary,B31,Sun Conure,CKR 279,Female,Proven,
Conure,Sun Conure  Aviary,B31,Sun Conure,CKR A 442,Male,Proven,
Conure,Sun Conure  Aviary,B32,Sun Conure,GB 2874,Male,Proven,
Conure,Sun Conure  Aviary,B32,Sun Conure,GB 3126,Female,Proven,
Conure,Sun Conure  Aviary,B33,Janday Conure,CKR 53,Male,Proven,
Conure,Sun Conure  Aviary,B33,Janday Conure,CKR B 136,Female,Proven,
Conure,Garden,B34,Sun conure,GD 2720,Female,Proven,
Conure,Garden,B34,Sun conure,GD 2883,Male,Proven,
Conure,Sun Conure  Aviary,B35,Sun Conure,GB 2827,Male,Proven,
Conure,Sun Conure  Aviary,B35,Sun Conure,CKR A 352,Female,Proven,
Conure,Sun Conure  Aviary,B36,Sun Conure,GB 2937,Female,Proven,
Conure,Sun Conure  Aviary,B36,Sun Conure,GB 2939,Male,Proven,
Conure,Sun Conure  Aviary,B37,Sun Conure,CKR C 276,Female,Proven,
Conure,Sun Conure  Aviary,B37,Sun Conure,GB 2894,Male,Proven,
Conure,Sun Conure  Aviary,B38,Sun Conure,GB 3047,Male,Proven,
Conure,Sun Conure  Aviary,B38,Janday Conure,GB 3323,Female,Proven,
Conure,Garden,B39,Sun conure,Ckr 153,Female,Proven,
Conure,Garden,B39,Sun conure,GB 2956,Male,Proven,
Conure,Sun Conure  Aviary,B40,Sun Conure,GB 2893,Male,Proven,
Conure,Sun Conure  Aviary,B40,Sun Conure,GB 3080,Female,Proven,
