Group Name,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date,Egg weight,,,,,,,
Conure,Sun Conure,B12,11-04-2022,Sun & Janday Conure,GB2701,GB3332,6566,Fertile,18-04-2022,,7.7,27-04-2022,6.1,29-04-2022,1.12,Normal,,,8.59,,,,,,,,
Conure,Sun Conure,B26,11-04-2022,Sun Conure,GB2892,GB2932,6567,Fertile,18-04-2022,,4.84,28-04-2022,3.47,29-04-2022,0.48,Assist,,,5.84,,,,,,,,
Conure,Sun Conure,A41,11-04-2022,Sun Conure,GB2719,GB2955,6568,Fertile,18-04-2022,,,,,,,,,,5.68,,,,,,,,
Conure,Sun Conure,A41,11-04-2022,Sun Conure,GB2719,GB2955,6569,DIS,18-04-2022,,,,,,,,Mid,22-04-2022,5.99,,,,,,,,
Parrot,Sun Conure,A43,11-04-2022,Caique,CKR30,CKRB196,6570,Fertile,18-04-2022,,,,,,,,,,12.05,,,,,,,,
Conure,Sun Conure,A56,11-04-2022,Sun Conure,GB2898,GB2933,6571,Infertile,,,,,,,,,,,7.3,,,,,,,,
Lory,Lory,E09,11-04-2022,Black Capped Lory,Sunil664,Sunil637,6572,Fertile,18-04-2022,,,,,,,,,,9.24,,,,,,,,
Lory,Lory,E09,11-04-2022,Black Capped Lory,Sunil664,Sunil637,6573,Fertile,18-04-2022,,,,,,,,,,9.56,,,,,,,,
Lorikeet,Lory,D28,11-04-2022,Scaly Breasted Lorikeet,GF0346,CKRA158,6574,Fertile,18-04-2022,,4.57,28-04-2022,3.72,29-04-2022,0.45,Normal,,,5.12,,,,,,,,
Lorikeet,Lory,D28,11-04-2022,Scaly Breasted Lorikeet,GF0346,CKRA158,6575,Infertile,,,,,,,,,,,3.02,,,,,,,,
Lorikeet,Lory,D30,11-04-2022,Swainson Lorikeet,CKRA480,CKRA417,6576,DIS,16-04-2022,,,,,,,,Early,18-04-2022,7,,,,,,,,
Lorikeet,Lory,D33,11-04-2022,Swainson Lorikeet,SA256,CKRB050,6577,Fertile,18-04-2022,,,,,,,,,,7.28,,,,,,,,
Lorikeet,Lory,E34,11-04-2022,Swainson Lorikeet,CKR221,CKR361,6578,Infertile,,,,,,,,,,,7.78,,,,,,,,
Lorikeet,Lory,E34,11-04-2022,Swainson Lorikeet,CKR221,CKR361,6579,Infertile,,,,,,,,,,,7.6,,,,,,,,
Lorikeet,Lory,E34,11-04-2022,Swainson Lorikeet,CKR221,CKR361,6580,Infertile,,,,,,,,,,,7.06,,,,,,,,
Lorikeet,Lory,E37,11-04-2022,Green Napped Lorikeet,YUV304,YUV398,6581,Fertile,18-04-2022,,,,,,,,,,5.93,,,,,,,,
Lorikeet,Lory,D38,11-04-2022,Red Collared Lorikeet,HL7810,CKR182/TE4550,6582,Infertile,,,,,,,,,,,6.8,,,,,,,,
Lorikeet,Lory,D38,11-04-2022,Red Collared Lorikeet,HL7810,CKR182/TE4550,6583,Fertile,18-04-2022,,,,,,,,,,6.19,,,,,,,,
Lorikeet,Lory,E42,11-04-2022,Swainson Lorikeet,CKRA438,CKRA435,6584,Infertile,,,,,,,,,,,8,,,,,,,,
Lorikeet,Lory,E43,11-04-2022,Red Collared Lorikeet,CKRC315,CKRC294,6585,DIS,18-04-2022,,,,,,,,Early,19-04-2022,7.21,,,,,,,,
Lorikeet,Lory,F33,11-04-2022,Olive Swainson Lorikeet,CKRD1576,7L6697,6586,Infertile,,,,,,,,,,,5.75,,,,,,,,
Lorikeet,Lory,D46,11-04-2022,Red Collared Lorikeet,MVF845,BB858/11-126,6587,Infertile,,,,,,,,,,,6,,,,,,,,
Lorikeet,Lory,D48,11-04-2022,Red Collared Lorikeet,CKRC303,CKRC291,6588,DIS,11-04-2022,,,,,,,,Early,18-04-2022,6.38,,,,,,,,
Conure,Lory,A56,11-04-2022,Sun Conure,GB2898,GB2933,6589,Fertile,18-04-2022,,,,,,,,,,7,,,,,,,,
Parrot,Sun Conure,B05,15-04-2022,Red Belly,CKRB211,266,6590,Fertile,22-04-2022,,,,,,,,,,9.56,,,,,,,,
Conure,Sun Conure,B12,15-04-2022,Sun & Janday Conure,GB2701,GB3332,6591,Fertile,22-04-2022,,,,,,,,,,7.76,,,,,,,,
Conure,Sun Conure,A32,15-04-2022,Sun Conure,CKRC339,CKRD317,6592,Fertile,22-04-2022,,7.97,28-04-2022,6.48,29-04-2022,0.79,Assist,,,8.64,,,,,,,,
Conure,Sun Conure,A32,15-04-2022,Sun Conure,CKRC339,CKRD317,6593,Fertile,22-04-2022,,,,,,,,,,8.74,,,,,,,,
Conure,Sun Conure,B41,15-04-2022,Sun Conure,GB2914,GB3068,6594,Infertile,,,,,,,,,,,7.54,,,,,,,,
Parrot,Sun Conure,A43,15-04-2022,Caique,CKR30,CKRB196,6595,Fertile,22-04-2022,,,,,,,,,,11.54,,,,,,,,
Lorikeet,Lory,F25,15-04-2022,Olive Swainson Lorikeet,7L6689,CKRD579,6596,Fertile,22-04-2022,,,,,,,,,,7.48,,,,,,,,
Lorikeet,Lory,F33,15-04-2022,Olive Swainson Lorikeet,CKRD1576,7L6697,6597,Infertile,,,,,,,,,,,6.65,,,,,,,,
Lorikeet,Lory,D45,15-04-2022,Swainson Lorikeet + Green Napped Lorikeet,CKRC197,YUV293,6598,Infertile,,,,,,,,,,,8.45,,,,,,,,
Lorikeet,Lory,E45,15-04-2022,Scaly Breasted Lorikeet + Olive Scaly Breasted Lorikeet,TC6AQ238,AP8377,6599,Infertile,,,,,,,,,,,5.52,,,,,,,,
Lorikeet,Lory,D44,15-04-2022,Red Collared Lorikeet,CKRC206,CKRC199,6600,Infertile,,,,,,,,,,,5.93,,,,,,,,
Lorikeet,Lory,D44,15-04-2022,Red Collared Lorikeet,CKRC206,CKRC199,6601,Infertile,,,,,,,,,,,6,,,,,,,,
Lorikeet,Lory,E43,15-04-2022,Red Collared Lorikeet,CKRC315,CKRC294,6602,Fertile,22-04-2022,,,,,,,,,,7.93,,,,,,,,
Lorikeet,Lory,D39,15-04-2022,Olive Swainson Lorikeet + Swainson Lorikeet,CKR228,CKR378,6603,Fertile,22-04-2022,,,,,,,,,,8.22,,,,,,,,
Lorikeet,Lory,D33,15-04-2022,Swainson Lorikeet,SA256,CKRB050,6604,Fertile,22-04-2022,,,,,,,,,,8.54,,,,,,,,
Lorikeet,Lory,E29,15-04-2022,Red Collared Lorikeet,CKRC204,CKRC208,6605,Fertile,22-04-2022,,,,,,,,,,6.43,,,,,,,,
Lorikeet,Lory,E29,15-04-2022,Red Collared Lorikeet,CKRC204,CKRC208,6606,Infertile,,,,,,,,,,,6.45,,,,,,,,
Lorikeet,Lory,D26,15-04-2022,Olive Swainson Lorikeet + Swainson Lorikeet,CKRC257,NORING,6607,DIS,22-04-2022,,,,,,,,Late,28-04-2022,6.46,,,,,,,,
Lorikeet,Lory,D26,15-04-2022,Olive Swainson Lorikeet + Swainson Lorikeet,CKRC257,NORING,6608,Fertile,22-04-2022,,,,,,,,,,7.64,,,,,,,,
Lory,Lory,D25,15-04-2022,Red Lory ,215,ABW5147,6609,Fertile,22-04-2022,,,,,,,,,,7.92,,,,,,,,
Lorikeet,Lory,E25,15-04-2022,Red Collared Lorikeet,YMSBRC773,YO5067,6610,Fertile,22-04-2022,,,,,,,,,,8.38,,,,,,,,
Lorikeet,Lory,E25,15-04-2022,Red Collared Lorikeet,YMSBRC773,YO5067,6611,Fertile,22-04-2022,,,,,,,,,,7.9,,,,,,,,
Lory,Lory,E15,15-04-2022,Red Lory ,ABW5141,5153,6612,Fertile,22-04-2022,,,,,,,,,,7.89,,,,,,,,
Lory,Lory,E15,15-04-2022,Red Lory ,ABW5141,5153,6613,DIS,20-04-2022,,,,,,,,Early,22-04-2022,8.43,,,,,,,,
Lory,Lory,D01,15-04-2022,Yellow bibbed Lory,CKRC407,CKRC422,6614,Infertile,,,,,,,,,,,7.23,,,,,,,,
Lory,Lory,D25,15-04-2022,Red Lory ,215,ABW5147,6615,DIS,20-04-2022,,,,,,,,Early,22-04-2022,7.86,,,,,,,,
Monk,Macaw,M12(NB-3),16-04-2022,Monk-Blue,,,6617,Infertile,,,,,,,,,,,4.4,,,,,,,,
Monk,Macaw,M12(NB-3),16-04-2022,Monk-Blue,,,6618,Infertile,,,,,,,,,,,5.19,,,,,,,,
Monk,Macaw,M12(NB-3),16-04-2022,Monk-Blue,,,6619,Infertile,,,,,,,,,,,4.71,,,,,,,,
Monk,Macaw,M12(NB-3),16-04-2022,Monk-Blue,,,6620,Infertile,,,,,,,,,,,5.24,,,,,,,,
Monk,Macaw,M12(NB-9),16-04-2022,Monk-Blue,,,6621,Infertile,,,,,,,,,,,5.66,,,,,,,,
Monk,Macaw,M12(NB-9),16-04-2022,Monk-Blue,,,6622,Fertile,23-04-2022,,,,,,,,,,5.73,,,,,,,,
Monk,Macaw,M12(NB-10),16-04-2022,Monk-Lutino,,,6623,Fertile,23-04-2022,,,,,,,,,,7.61,,,,,,,,
Monk,Macaw,M12(NB-10),16-04-2022,Monk-Lutino,,,6624,Fertile,23-04-2022,,,,,,,,,,6.24,,,,,,,,
Parrot,Sun Conure,A43,18-04-2022,Caique,CKR30,CKRB196,6616,Fertile,25-04-2022,,,,,,,,,,8.4,,,,,,,,
Lory,Lory,D17,18-04-2022,Violet necked Lory,CHIRP027,JP371,6625,Fertile,25-04-2022,,,,,,,,,,6.65,,,,,,,,
Lory,Lory,D29,18-04-2022,Red Lory ,YUV111,ABW5159,6626,Fertile,25-04-2022,,,,,,,,,,9.39,,,,,,,,
Lorikeet,Lory,D39,18-04-2022,Olive Swainson Lorikeet + Swainson Lorikeet,CKR228,CKR378,6627,Infertile,,,,,,,,,,,7.82,,,,,,,,
Lorikeet,Lory,D45,18-04-2022,Swainson Lorikeet + Green Napped Lorikeet,CKRC197,YUV293,6628,Infertile,,,,,,,,,,,6.7,,,,,,,,
Lory,Lory,E02,18-04-2022,Duyvenbode Lory,395,392,6629,DIS,23-04-2022,,,,,,,,Early,25-04-2022,9.04,,,,,,,,
Lory,Lory,E27,18-04-2022,Red Lory ,ABW4849,ABW5154,6630,Fertile,25-04-2022,,,,,,,,,,8.43,,,,,,,,
Lory,Lory,F42,18-04-2022,Violet necked Lory,CKRD1578,CKRE526,6631,Infertile,,,,,,,,,,,7.43,,,,,,,,
Lory,Lory,D01,21-04-2022,Yellow bibbed Lory,CKRC407,CKRC422,6632,Infertile,,,,,,,,,,,6.72,,,,,,,,
Lory,Lory,E02,21-04-2022,Duyvenbode Lory,395,392,6633,,,,,,,,,,,,9.79,,,,,,,,
Lory,Lory,E19,21-04-2022,Black Capped & chattering Lory,Sunil692,JP514,6634,,,,,,,,,,,,10.71,,,,,,,,
Lory,Lory,E27,21-04-2022,Red Lory ,ABW4849,ABW5154,6635,,,,,,,,,,,,8.15,,,,,,,,
Lorikeet,Lory,E31,21-04-2022,Olive Swainson Lorikeet + Swainson Lorikeet,CKRC230,CKRC266,6636,,,,,,,,,,,,7.2,,,,,,,,
Lorikeet,Lory,F25,21-04-2022,Olive Swainson Lorikeet,7L6689,CKRD579,6637,,,,,,,,,,,,7.85,,,,,,,,
Lorikeet,Lory,F30,21-04-2022,Swainson Lorikeet,CKRC248,ACEIND148,6638,,,,,,,,,,,,8.8,,,,,,,,
Lorikeet,Lory,F45,21-04-2022,Olive Swainson Lorikeet,7L6678,T0660192,6639,Infertile,,,,,,,,,,,6.83,,,,,,,,
Cockatoo,Vasantham,V19,22-04-2022,Mollucan Cockatoo,PABW072,PABW038,2595,DIS,04-04-2022,,,,,,,,Late,22-04-2022,23.4,,,,,,,,
Parrot,Sun Conure,B05,25-04-2022,Red Belly,CKRB211,266,6640,,,,,,,,,,,,9.11,,,,,,,,
